survey_id,response_id,registered,propensity,pres,gov,sen,party_reg,gender,age,hisp,race,educ,pres16,house18,county
SV_6tbzcMgiF3B4MxD,R_2qF7fpbaVrS2YER,Yes,I will probably not vote,Undecided,"Roy Cooper, the Democrat",Undecided,Democratic,Female,47,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Did not vote,Orange
SV_6tbzcMgiF3B4MxD,R_9mKzaTGRGY729CV,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,39,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,The Democratic party candidate,Wake
SV_6tbzcMgiF3B4MxD,R_2QxIzQ31YeE9PYJ,Not sure,I am likely to vote,Undecided,Undecided,Undecided,Unaffiliated,Male,38,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Unsure / Don't remember,Unsure / Don't remember,Wake
SV_6tbzcMgiF3B4MxD,R_ypPounzkksXTRh7,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,39,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Cumberland
SV_6tbzcMgiF3B4MxD,R_2pVr7kQVIT9hQYu,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,50,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_6tbzcMgiF3B4MxD,R_1nPWCbpPG2UczhF,Yes,I am likely to vote,"Donald Trump, the Republican",Undecided,"Cal Cunningham, the Democrat",Unaffiliated,Male,32,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",Did not vote,Catawba
SV_6tbzcMgiF3B4MxD,R_suIFWb3V82yavwB,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,32,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Pitt
SV_6tbzcMgiF3B4MxD,R_2pVJaW9NYVizmtu,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,37,No,White,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_6tbzcMgiF3B4MxD,R_3G21ymZ56hHeVop,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,40,No,Asian,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_6tbzcMgiF3B4MxD,R_2ffI5pGMMogwskV,Yes,I am likely to vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,49,No,White,"Associate degree (e.g. AA, AS)",Did not vote,Did not vote,Henderson
