survey_id,response_id,registered,propensity,pres,sen,gov,party_reg,age,gender,hisp,race,educ,pres16,house18,county
SV_3WunfJOVGncwpE1,R_1mkjq2WPUVOXT71,No,I am likely to vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,28,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Franklin
SV_3WunfJOVGncwpE1,R_007qjRa0GPifOIV,Yes,I am 100% certain I will vote,Undecided,"Thom Tillis, the Republican","Dan Forest, the Republican",Unaffiliated,26,Male,No,White,"Some college, no degree","Donald Trump, the Republican",The Democratic party candidate,Durham
SV_3WunfJOVGncwpE1,R_6hxXmzBp9S27q8N,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,"Roy Cooper, the Democrat",Unaffiliated,34,Male,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Onslow
SV_3WunfJOVGncwpE1,R_1QKQDZdt8eh70Wf,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Cal Cunningham, the Democrat","Dan Forest, the Republican",Republican,33,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Davidson
SV_3WunfJOVGncwpE1,R_1qanp0OetKMiyFQ,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,20,Female,Yes,White,"Bachelor's degree (e.g. BA, BS)",Did not vote,Did not vote,Iredell
SV_3WunfJOVGncwpE1,R_xrzgy42XgBrsKNH,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,54,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Union
SV_3WunfJOVGncwpE1,R_2wzYgF3Y7r28L9K,Yes,I am likely to vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,47,Female,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Vance
SV_3WunfJOVGncwpE1,R_3RsVlILFvTRfWkd,Yes,I am likely to vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,49,Female,No,White,"Associate degree (e.g. AA, AS)",Did not vote,Did not vote,Henderson
SV_3WunfJOVGncwpE1,R_248fEiMZPWBlkBE,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Other,26,Female,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Union
SV_3WunfJOVGncwpE1,R_2WU3t96xDXHyCfP,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Unaffiliated,64,Female,No,White,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",The Republican party candidate,Beaufort
SV_3WunfJOVGncwpE1,R_1GVv41A6HCChzIi,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,50,Female,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_3WunfJOVGncwpE1,R_9vrpOqHnYWl8zDz,Yes,I am 100% certain I will vote,Undecided,"Cal Cunningham, the Democrat",Undecided,Democratic,34,Female,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_3WunfJOVGncwpE1,R_1fZQl32T9L46Y7F,Not sure,I will definitely not vote,Undecided,"Cal Cunningham, the Democrat",Undecided,Democratic,28,Female,No,Asian,"Bachelor's degree (e.g. BA, BS)",Did not vote,Did not vote,Wake
SV_3WunfJOVGncwpE1,R_1AL8hQ6gX313P1f,Yes,I am 100% certain I will vote,"Donald Trump, the Republican",Undecided,Undecided,Republican,37,Female,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Davidson
SV_3WunfJOVGncwpE1,R_1I4bXMtkJuWnzax,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,Undecided,Unaffiliated,28,Female,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",Unsure / Don't remember,Wake
SV_3WunfJOVGncwpE1,R_1GCjIxWgHNcUmo4,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Unaffiliated,56,Male,No,White,High school degree or equivalent (e.g. GED),"Hillary Clinton, the Democrat",The Democratic party candidate,Watauga
SV_3WunfJOVGncwpE1,R_2zvZmKJKLTeP2af,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Unaffiliated,47,Female,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,Unsure / Don't remember,Forsyth
SV_3WunfJOVGncwpE1,R_3JmD9rMhvu0EYcU,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,36,Female,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Nash
SV_3WunfJOVGncwpE1,R_DeCA16d6IBdi4QF,Yes,I am 100% certain I will vote,"Donald Trump, the Republican",Undecided,"Roy Cooper, the Democrat",Democratic,31,Female,No,White,High school degree or equivalent (e.g. GED),"Donald Trump, the Republican",The Republican party candidate,Hertford
SV_3WunfJOVGncwpE1,R_2OINvIv1v2BlczU,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Unaffiliated,23,Female,No,White,High school degree or equivalent (e.g. GED),"Hillary Clinton, the Democrat",The Democratic party candidate,Catawba
SV_3WunfJOVGncwpE1,R_1Nzhmy0kw2f9bqS,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,27,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Watauga
SV_3WunfJOVGncwpE1,R_10UIih294BvhW4E,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,40,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_3WunfJOVGncwpE1,R_Xp5x8YWtJ7fOWSR,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Unaffiliated,62,Female,Yes,Black or African American,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Northampton
SV_3WunfJOVGncwpE1,R_3MsNt2MRZT6N7bc,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,55,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
SV_3WunfJOVGncwpE1,R_2YSdTcYsSBk2JOt,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,47,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Union
SV_3WunfJOVGncwpE1,R_2zShwfRY61Nn4Op,No,I will probably not vote,"Joe Biden, the Democrat",Undecided,Undecided,Unaffiliated,20,Male,No,Asian,"Associate degree (e.g. AA, AS)",Did not vote,Did not vote,Forsyth
SV_3WunfJOVGncwpE1,R_2TN6mJRaRDA93Cz,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,38,Male,No,White,"Some college, no degree","Hillary Clinton, the Democrat",,Wilkes
SV_3WunfJOVGncwpE1,R_3DtHZARCiil4h27,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,"Roy Cooper, the Democrat",Democratic,38,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Buncombe
SV_3WunfJOVGncwpE1,R_ZKV2ZV8xh9WwaFr,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Thom Tillis, the Republican","Roy Cooper, the Democrat",Republican,55,Female,No,White,High school degree or equivalent (e.g. GED),Someone else,The Republican party candidate,Union
SV_3WunfJOVGncwpE1,R_3COti68AHQWitCT,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,40,Male,No,Asian,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_3WunfJOVGncwpE1,R_2tzEqnsfVLn6ZrS,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,30,Male,Yes,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Greene
SV_3WunfJOVGncwpE1,R_0CXJcOY7dv1lgkh,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,44,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Catawba
SV_3WunfJOVGncwpE1,R_2rUivRXg8J6Keu0,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,34,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Did not vote,Union
SV_3WunfJOVGncwpE1,R_3lYYw7lCebHgEkk,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,"Roy Cooper, the Democrat",Unaffiliated,32,Female,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",Unsure / Don't remember,Onslow
SV_3WunfJOVGncwpE1,R_3O856YKB6FAP8d6,Yes,I am likely to vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Roy Cooper, the Democrat",Republican,51,Male,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Washington
SV_3WunfJOVGncwpE1,R_1IgXBU49iLmp0p6,Yes,I am 100% certain I will vote,Undecided,Undecided,"Roy Cooper, the Democrat",Democratic,57,Female,No,White,"Associate degree (e.g. AA, AS)",Did not vote,Unsure / Don't remember,Buncombe
SV_3WunfJOVGncwpE1,R_2VEbgqNVlaa0kAU,Yes,I am 100% certain I will vote,"Donald Trump, the Republican",Some other candidate,Some other candidate,Other,30,Female,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,Someone else,Craven
SV_3WunfJOVGncwpE1,R_3RsDLZ9XIvT8FdF,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Unaffiliated,33,Female,No,White,"Associate degree (e.g. AA, AS)",Someone else,The Democratic party candidate,Caswell
SV_3WunfJOVGncwpE1,R_2OUZSYHHhfaaiBI,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,30,Female,No,White,"Doctorate or professional degree (e.g. MD, DDS, PhD)",Did not vote,The Democratic party candidate,Wake
SV_3WunfJOVGncwpE1,R_3lB5473X0eSSn2F,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Unaffiliated,35,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Cleveland
SV_3WunfJOVGncwpE1,R_1luxWByQ48bbZ8Z,Yes,I am 100% certain I will vote,Some other candidate,"Cal Cunningham, the Democrat","Dan Forest, the Republican",Democratic,41,Male,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,Did not vote,Davie
SV_3WunfJOVGncwpE1,R_2rHCm9YgCNOh0e4,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,29,Male,No,Asian,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Guilford
SV_3WunfJOVGncwpE1,R_3lSQaWM4x3J9gw9,Yes,I am 100% certain I will vote,Undecided,"Thom Tillis, the Republican","Roy Cooper, the Democrat",Republican,32,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Republican party candidate,Buncombe
SV_3WunfJOVGncwpE1,R_2uwbuo5VJRPSE6f,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,55,Female,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_3WunfJOVGncwpE1,R_1jpMBN3yccU7vO9,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,43,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Cabarrus
SV_3WunfJOVGncwpE1,R_2ROBYFk2hGVAf92,Yes,I will probably not vote,Some other candidate,Undecided,"Roy Cooper, the Democrat",Democratic,47,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Did not vote,Orange
SV_3WunfJOVGncwpE1,R_3GlgFn91gdwW31U,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,39,Female,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Surry
SV_3WunfJOVGncwpE1,R_3ESadnCSlhTz7hy,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,45,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_3WunfJOVGncwpE1,R_2UfHX7DLqQ3ZS5L,Yes,I am 100% certain I will vote,"Donald Trump, the Republican",Some other candidate,"Roy Cooper, the Democrat",Democratic,35,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Gaston
SV_3WunfJOVGncwpE1,R_3qDsJ03blUdrRYi,Yes,I am 100% certain I will vote,Undecided,Undecided,Undecided,Democratic,26,Female,No,White,"Some college, no degree","Donald Trump, the Republican",The Republican party candidate,Washington
SV_3WunfJOVGncwpE1,R_XXHl3ZzfV3HQAa5,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Unaffiliated,43,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Republican party candidate,Forsyth
SV_3WunfJOVGncwpE1,R_1jGKHHNyDSBCEIy,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,51,Male,No,White,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",The Republican party candidate,Montgomery
SV_3WunfJOVGncwpE1,R_2yqF8HHa0fxDel2,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,27,Male,Yes,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Forsyth
SV_3WunfJOVGncwpE1,R_ZkO4rMR7MQdESoV,Yes,I am likely to vote,"Joe Biden, the Democrat",Undecided,"Dan Forest, the Republican",Republican,60,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Unsure / Don't remember,Wake
SV_3WunfJOVGncwpE1,R_XnYOQGVK8K7qbqp,Yes,I am likely to vote,"Joe Biden, the Democrat",Undecided,"Roy Cooper, the Democrat",Democratic,30,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Cleveland
SV_3WunfJOVGncwpE1,R_BzCI74H8YPmNPd7,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Other,67,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",Did not vote,Wake
SV_3WunfJOVGncwpE1,R_3kFzLnuLqsdkEhA,Yes,50/50,"Joe Biden, the Democrat",Undecided,Undecided,Democratic,43,Female,No,White,"Some college, no degree",Did not vote,Did not vote,Pasquotank
SV_3WunfJOVGncwpE1,R_21EWxKiILG30Ccw,Yes,I am 100% certain I will vote,Some other candidate,"Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,36,Male,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Someone else,The Democratic party candidate,Wake
SV_3WunfJOVGncwpE1,R_279a3bUtFnIWQIg,Yes,I am likely to vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,29,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Northampton
SV_3WunfJOVGncwpE1,R_3aw3F49tcJvYSQh,Yes,I am 100% certain I will vote,Some other candidate,Undecided,"Roy Cooper, the Democrat",Other,27,Male,No,White,"Master's degree (e.g. MA, MS, MEd)",Someone else,Did not vote,Mecklenburg
SV_3WunfJOVGncwpE1,R_A6bswpESLzTinIJ,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,26,Male,Yes,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Democratic party candidate,Caswell
SV_3WunfJOVGncwpE1,R_ZkT7hRToQBc4dGh,Yes,50/50,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,45,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Richmond
SV_3WunfJOVGncwpE1,R_3gTNpvQpYuEC8To,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,64,Female,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
