registered,propensity,pres,gov,sen,party_reg,gender,age,hisp,race,educ,pres16,house18,county
Yes,I am likely to vote,Some other candidate,"Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,26 ,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Did not vote,The Democratic party candidate,Halifax
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,37 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Richmond
Yes,I am likely to vote,Some other candidate,"Roy Cooper, the Democrat",Undecided,Unaffiliated,Male,22 ,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Did not vote,The Democratic party candidate,Orange
Not sure,I am 100% certain I will vote,Undecided,Undecided,"Thom Tillis, the Republican",Unaffiliated,Female,32 ,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Did not vote,Did not vote,Wake
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,27 ,No,Black or African American,"Associate degree (e.g. AA, AS)","Hillary Clinton, the Democrat",The Democratic party candidate,Guilford
Yes,I will probably not vote,Undecided,"Roy Cooper, the Democrat",Undecided,Democratic,Male,43 ,No,White,"Master's degree (e.g. MA, MS, MEd)",Did not vote,The Republican party candidate,Mecklenburg
Yes,I am 100% certain I will vote,Undecided,"Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,28 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,63 ,No,White,"Bachelor's degree (e.g. BA, BS)",Did not vote,Did not vote,Cumberland
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,21 ,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Cumberland
Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,39 ,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Cumberland
