survey_id,response_id,start_date,duration,lat,long,random_id,state
SV_3WunfJOVGncwpE1,R_ZKV2ZV8xh9WwaFr,13-Aug-20,00:01:33,35.02209473,-80.53179932,60135,North Carolina
SV_3WunfJOVGncwpE1,R_3COti68AHQWitCT,13-Aug-20,00:01:16,35.19360352,-80.68650055,43205,North Carolina
SV_3WunfJOVGncwpE1,R_2tzEqnsfVLn6ZrS,13-Aug-20,00:05:30,35.31059265,-79.34719849,97218,North Carolina
SV_3WunfJOVGncwpE1,R_0CXJcOY7dv1lgkh,13-Aug-20,00:00:53,35.75320435,-81.32640076,26404,North Carolina
SV_3WunfJOVGncwpE1,R_2rUivRXg8J6Keu0,13-Aug-20,00:01:22,35.02209473,-80.53179932,70011,North Carolina
SV_3WunfJOVGncwpE1,R_3lYYw7lCebHgEkk,13-Aug-20,00:01:33,34.74189758,-77.45760345,60078,North Carolina
SV_3WunfJOVGncwpE1,R_3O856YKB6FAP8d6,13-Aug-20,00:05:12,37.75100708,-97.8219986,18950,State Not Found
SV_3WunfJOVGncwpE1,R_1IgXBU49iLmp0p6,13-Aug-20,00:02:33,35.50549316,-82.99120331,74421,North Carolina
SV_3WunfJOVGncwpE1,R_2VEbgqNVlaa0kAU,13-Aug-20,00:03:08,36.18249512,-79.81030273,15080,North Carolina
SV_3WunfJOVGncwpE1,R_3RsDLZ9XIvT8FdF,13-Aug-20,00:01:48,35.17959595,-80.84590149,63733,North Carolina
SV_3WunfJOVGncwpE1,R_2OUZSYHHhfaaiBI,13-Aug-20,00:15:45,36.03900146,-78.87799835,20032,North Carolina
SV_3WunfJOVGncwpE1,R_3lB5473X0eSSn2F,13-Aug-20,00:01:05,35.24940491,-81.3812027,55153,North Carolina
SV_3WunfJOVGncwpE1,R_1luxWByQ48bbZ8Z,13-Aug-20,00:01:08,35.91850281,-80.53869629,27903,North Carolina
SV_3WunfJOVGncwpE1,R_2rHCm9YgCNOh0e4,13-Aug-20,00:00:36,35.93060303,-86.87879944,15787,Tennessee
SV_3WunfJOVGncwpE1,R_3lSQaWM4x3J9gw9,13-Aug-20,00:00:41,35.46429443,-82.53359985,51884,North Carolina
SV_3WunfJOVGncwpE1,R_2uwbuo5VJRPSE6f,13-Aug-20,00:00:33,35.40100098,-80.8687973,10140,North Carolina
SV_3WunfJOVGncwpE1,R_1jpMBN3yccU7vO9,13-Aug-20,00:00:54,35.37159729,-80.52999878,87090,North Carolina
SV_3WunfJOVGncwpE1,R_2ROBYFk2hGVAf92,13-Aug-20,00:00:49,36.07739258,-79.08799744,42256,North Carolina
SV_3WunfJOVGncwpE1,R_3GlgFn91gdwW31U,13-Aug-20,00:01:17,36.50019836,-80.61630249,23184,North Carolina
SV_3WunfJOVGncwpE1,R_3ESadnCSlhTz7hy,13-Aug-20,00:00:36,35.40100098,-80.8687973,44768,North Carolina
SV_3WunfJOVGncwpE1,R_2UfHX7DLqQ3ZS5L,13-Aug-20,00:04:32,35.24969482,-81.13690186,18285,North Carolina
SV_3WunfJOVGncwpE1,R_3qDsJ03blUdrRYi,13-Aug-20,00:04:26,47.49020386,-122.3003998,26623,Washington
SV_3WunfJOVGncwpE1,R_XXHl3ZzfV3HQAa5,13-Aug-20,00:00:43,36.14300537,-80.30729675,63871,North Carolina
SV_3WunfJOVGncwpE1,R_1jGKHHNyDSBCEIy,13-Aug-20,00:01:16,35.05969238,-79.00579834,76685,North Carolina
SV_3WunfJOVGncwpE1,R_2yqF8HHa0fxDel2,13-Aug-20,00:00:54,36.09129333,-80.32710266,39244,North Carolina
SV_3WunfJOVGncwpE1,R_ZkO4rMR7MQdESoV,13-Aug-20,00:01:26,35.68280029,-78.59770203,24395,North Carolina
SV_3WunfJOVGncwpE1,R_XnYOQGVK8K7qbqp,13-Aug-20,00:04:16,37.75100708,-97.8219986,20373,State Not Found
SV_3WunfJOVGncwpE1,R_BzCI74H8YPmNPd7,13-Aug-20,00:02:42,35.81230164,-78.54689789,93919,North Carolina
SV_3WunfJOVGncwpE1,R_3kFzLnuLqsdkEhA,13-Aug-20,00:01:27,36.29600525,-76.24349976,58050,North Carolina
SV_3WunfJOVGncwpE1,R_21EWxKiILG30Ccw,13-Aug-20,00:01:27,27.78700256,-82.67610168,81012,Florida
SV_3WunfJOVGncwpE1,R_279a3bUtFnIWQIg,13-Aug-20,00:04:59,37.75100708,-97.8219986,62706,State Not Found
SV_3WunfJOVGncwpE1,R_3aw3F49tcJvYSQh,13-Aug-20,00:01:26,35.12930298,-80.86399841,16855,North Carolina
SV_3WunfJOVGncwpE1,R_A6bswpESLzTinIJ,13-Aug-20,00:06:34,37.75100708,-97.8219986,83190,State Not Found
SV_3WunfJOVGncwpE1,R_ZkT7hRToQBc4dGh,13-Aug-20,00:01:41,37.43859863,-79.20800018,91263,Virginia
SV_3WunfJOVGncwpE1,R_3gTNpvQpYuEC8To,13-Aug-20,00:01:58,36.02290344,-78.9464035,93974,North Carolina
SV_3WunfJOVGncwpE1,R_UGskWnOKw8YWZeF,13-Aug-20,00:01:12,35.65240479,-80.49150085,98493,North Carolina
SV_3WunfJOVGncwpE1,R_1gA8mjNTqnE5UYK,13-Aug-20,00:02:03,35.71780396,-78.84279633,91165,North Carolina
SV_3WunfJOVGncwpE1,R_1jCDQcbZA6ldyHx,13-Aug-20,00:01:58,40.83639526,-74.14029694,41181,New Jersey
SV_3WunfJOVGncwpE1,R_2wAbOiXQhc3zpu1,13-Aug-20,00:02:54,35.89639282,-78.71150208,32207,North Carolina
SV_3WunfJOVGncwpE1,R_2s5Quvk2JwzMTP0,13-Aug-20,00:01:44,35.23010254,-78.35939789,95065,North Carolina
SV_3WunfJOVGncwpE1,R_31tuuHuGa0Y18AD,13-Aug-20,00:04:42,35.71780396,-78.84279633,35821,North Carolina
SV_3WunfJOVGncwpE1,R_3izeCk4hRJjDC9U,13-Aug-20,00:01:20,36.10470581,-79.82009888,28311,North Carolina
SV_3WunfJOVGncwpE1,R_bPMCtyVuG0N4yD7,13-Aug-20,00:01:18,35.17120361,-80.79389954,78498,North Carolina
SV_3WunfJOVGncwpE1,R_3PudZGuLoWIq7sz,13-Aug-20,00:01:44,36.02290344,-78.9464035,95420,North Carolina
SV_3WunfJOVGncwpE1,R_1P2hdIFgRvUDrFk,12-Aug-20,00:01:56,35.05969238,-79.00579834,11625,North Carolina
